"","CountryID","Country.Name","WEBNAME","Region","World.Rank","Region.Rank","X2014.Score","Change.in.Yearly.Score.from.2013","Property.Rights","Change.in.Property.Rights.from.2013","Freedom.from.Corruption","Change.in.Freedom.from.Corruption.from.2013","Fiscal.Freedom.","Change.in.Fiscal.Freedom.from.2013","Gov.t.Spending","Change.in.Gov.t.Spending.from.2013","Business.Freedom","Change.in.Business.Freedom.from.2013","Labor.Freedom","Change.in.Labor.Freedom.from.2013","Monetary.Freedom","Change.in.Monetary.Freedom.from.2013","Trade.Freedom","Change.in.Trade.Freedom.from.2013","Investment.Freedom.","Change.in.Investment.Freedom.from.2013","Financial.Freedom","Change.in.Financial.Freedom.from.2013","Tariff.Rate....","Income.Tax.Rate....","Corporate.Tax.Rate....","Tax.Burden...of.GDP","Gov.t.Expenditure...of.GDP.","Country","Population..Millions.","GDP..Billions..PPP.","GDP.Growth.Rate....","X5.Year.GDP.Growth.Rate....","GDP.per.Capita..PPP.","Unemployment....","Inflation....","FDI.Inflow..Millions.","Public.Debt....of.GDP."
"42",42,"Cuba","Cuba","South and Central America / Caribbean","177","29","28,7","0,2","10","0,0","41,2","-0,8","60,0","-2,7","0,0","0,0","20,0","10,0","20,0","0,0","65,8","-1,6","60,0","-2,7","0","0,0","10","0,0","10,0","50,0","30,0","24,4","66,7","Cuba","N/A","N/A","N/A","N/A","N/A","3,8","N/A","N/A","35,3"
"43",43,"Cyprus","Cyprus","Europe","46","21","67,6","-1,4","70","0,0","64,0","1,0","79,7","-0,1","36,2","3,5","79,7","-1,0","70,2","7,4","78,8","-5,3","82,8","1,0","65","-10,0","50","-10,0","1,1","35,0","10,0","26,5","46,1","Cyprus","0,9","$23,6","-2,4","0,2","$27.086","12,1","3,1","848,6","86,2"
"44",44,"Czech Republic","CzechRepublic","Europe","26","15","72,2","1,3","70","0,0","45,3","1,3","81,7","-0,3","43,8","0,3","70,1","4,3","84,0","-1,5","79,4","-2,3","87,8","1,0","80","10,0","80","0,0","1,1","15,0","19,0","35,3","43,3 ","Czech Republic","10,6","$287,0","-1,2","0,3","$27.191","7,0","3,3","10.592,5","43,1"
"45",45,"Denmark","Denmark","Europe","10","3","76,1","0,0","90","0,0","93,7","-0,3","39,3","-0,5","0,5","-5,4","98,1","-0,3","91,2","0,1","80,0","0,0","87,8","1,0","90","5,0","90","0,0","1,1","56,0","25,0","48,1","57,6 ","Denmark","5,6","$210,1","-0,6","-0,9","$37.657","7,6","2,4","2.883,0","50,1"
"46",46,"Djibouti","Djibouti","Sub-Saharan Africa","118","20","55,9","2,0","30","0,0","30,9","0,9","80,6","1,2","62,8","14,0","42,7","12,7","65,1","5,5","77,2","0,6","54,8","-4,8","65","0,0","50","-10,0","17,6","30,0","25,0","20,3","35,2","Djibouti","0,9","$2,4","4,8","4,7","$2.677","59,0","3,7","100,0","38,6"
"47",47,"Dominica","Dominica","South and Central America / Caribbean","63","12","65,2","1,3","60","0,0","53,5","1,5","72,9","0,9","61,7","11,6","75,0","-2,0","70,7","1,9","85,8","0,5","72,7","-1,6","70","0,0","30","0,0","8,6","35,0","30,0","24,2","35,7","Dominica","0,1","$1,0","0,4","2,0","$14.166","23,0","2,3","19,7","72,2"
"48",48,"Dominican Republic","DominicanRepublic","South and Central America / Caribbean","80","16","61,3","1,6","30","0,0","27,3","1,3","83,7","-0,0","92,3","-0,3","56,1","2,4","55,2","-0,4","75,7","2,8","77,8","0,0","75","10,0","40","0,0","6,1","25,0","29,0","12,9","16,1","Dominican Republic","10,2","$98,7","3,9","5,0","$9.646","13,0","3,7","3.609,6","33,5"
"49",49,"Ecuador","Ecuador","South and Central America / Caribbean","159","26","48,0","1,1","20","0,0","26,0","-1,0","79,8","-0,3","41,8","-5,5","52,8","1,3","52,0","4,0","66,1","-0,8","71,8","3,7","30","10,0","40","0,0","4,1","35,0","22,0","17,6","44,0","Ecuador","15,2","$153,2","5,0","4,7","$10.056","5,3","5,1","586,5","18,6"
"50",50,"Egypt","Egypt","Middle East / North Africa","135","13","52,9","-1,9","20","-15,0","28,6","-0,4","85,6","-0,0","69,6","0,2","62,7","-0,6","45,7","2,4","60,5","2,1","71,4","-2,4","45","-5,0","40","0,0","9,3","25,0","25,0","13,8","31,8","Egypt","82,5","$540,0","2,2","4,2","$6.545","12,3","8,6","2.797,7","80,2"
"51",51,"El Salvador","ElSalvador","South and Central America / Caribbean","59","11","66,2","-0,5","40","0,0","34,3","0,3","79,6","-6,1","85,8","0,4","59,6","-2,2","63,3","1,3","80,0","0,4","79,0","0,0","70","0,0","70","0,0","5,5","30,0","30,0","15,4","21,7","El Salvador","6,2","$46,3","1,6","0,6","$7.438","5,7","1,7","515,8","52,2"
